Name;Code;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
LVMH - DIVIDEND YIELD;F:LVMH(DY);1.74;1.92;2.34;2.14;2.29;2.06;2.22;1.7;2.04;1.53;1.01
LVMH;F:LVMH(P);103.6411;103.1454;111.4818;126.4872;124.144;160.15;162.5;246.95;264.25;405.5;477.3
LVMH - HISTORICAL VOLATILITY 5 YEARS;400E(F:LVMH);0.289;0.3035;0.3065;0.2445;0.2328;0.2397;0.237;0.2244;0.2184;0.215;0.2711
LVMH - RETURN ON EQUITY - TOTAL (%);F:LVMH(WC08301);19.57;15.46;14.57;13.44;23.22;15.5;15.69;18.57;20.78;20.82;NA
LVMH - Environment Pillar Score;F:LVMH(ENSCORE);83.65;84.95;83.3;83.84;81.35;82.81;78.65;77.71;75.77;91.07;NA
LVMH - RESEARCH & DEVELOPMENT/SALES;F:LVMH(WC08341);0.23;0.27;0.25;0.25;0.26;0.27;0.3;0.3;0.28;0.26;NA
LVMH - Governance Pillar Score;F:LVMH(CGSCORE);13.83;18.17;18.46;19.46;27.4;16.32;17.63;15.76;23.36;29.5;NA
LVMH - Social Pillar Score;F:LVMH(SOSCORE);58.11;75.75;73.4;69.56;77.32;74.74;77.66;72.87;70.53;83.04;NA
LVMH - CO2 Equivalent Emissions Indirect Scope 3 To Revenues USD in millions;F:LVMH(ENERDP0961);22.55;25.44;19.57;NA;NA;NA;NA;NA;NA;NA;NA
L'OREAL - DIVIDEND YIELD;F:OR@F(DY);1.77;2.32;2.03;1.83;1.9;1.63;1.97;1.77;1.71;1.47;1.21
L'OREAL;F:OR@F(P);84.86;77.75;98.62;125.35;131.65;166.15;157.3;186.15;207.6;261.5;317.5
L'OREAL - HISTORICAL VOLATILITY 5 YEARS;400E(F:OR@F);0.2168;0.2187;0.2145;0.1843;0.1649;0.1786;0.174;0.1727;0.1708;0.1754;0.21
L'OREAL - RETURN ON EQUITY - TOTAL (%);F:OR@F(WC08301);15.74;15.01;14.87;13.58;22.93;15.05;12.91;14.52;15.06;13.31;NA
L'OREAL - Environment Pillar Score;F:OR@F(ENSCORE);84.57;82.98;83.56;79.5;81.16;93.76;82.57;75.88;78.19;77.81;NA
L'OREAL - RESEARCH & DEVELOPMENT/SALES;F:OR@F(WC08341);3.47;3.5;3.52;3.73;3.38;3.14;3.29;3.37;3.39;3.3;NA
L'OREAL - Governance Pillar Score;F:OR@F(CGSCORE);72.62;57.46;55.73;58.46;65.79;75.02;80.24;70.03;63.95;65.9;NA
L'OREAL - Social Pillar Score;F:OR@F(SOSCORE);91.89;89.04;92.25;94.84;92.04;89.51;91.9;87.4;86.85;89.28;NA
